controller_name,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,success,capture_entered,lock_entered,crossing_occurs,crossing_vr,crossing_vt_error,crossing_vr_ratio,crossing_vt_error_ratio,crossing_radius_error,recoverable_crossing,crossing_score,recoverability_score,near_miss,radius_crossings_total,first_crossing_step,minimum_abs_radius_error,final_radius_error,tail_mean_abs_vr,steps,terminated,truncated,termination_reason,dominant_planner_mode,planner_mode_counts_json,initial_energy_error_ratio,final_energy_error_ratio,initial_angular_momentum_error_ratio,final_angular_momentum_error_ratio,mean_energy_error_ratio,mean_angular_momentum_error_ratio,mean_crossing_score,mean_recoverability_score,initial_angular_momentum_ratio,final_angular_momentum_ratio,max_speed_ratio,overspeed,turning_point_count,burn_steps,coast_steps,burn_ratio,transfer_burn_count,safety_coast_steps,classification_counts_json
baseline_soft_linear_3e4,0.98,150.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,148101427375.6953,148101437871.46484,297.67608708532185,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.020408163265306076,0.9931940337535566,-0.12518223472029355,-0.8170958106540332,,,,,0.8748177652797064,0.18290418934596675,0.7467844171220183,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.0,150.0,8000.0,1.0,True,True,True,True,-38.530447607905636,-3195.2769906896274,-0.009158290866034995,-0.7594844569695679,-2413.50390625,False,0.6185775149366969,0.021872411989640565,False,1,128,1076.5029296875,2220.5693359375,28.016402607368157,349,True,False,success,soft_window,"{""soft_window"": 128}",0.0,5.921338994971445e-10,-0.1339745962155613,7.549516567451064e-15,,,0.6185775149366969,0.021872411989640565,0.8660254037844387,1.0000000000000075,1.0000000000000073,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.02,150.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,150000152884.06055,151439399801.9121,288.3916029378637,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.01960784313725499,0.9214919987051526,-0.14250707428745557,-0.8316073444984141,,,,,0.8574929257125444,0.16839265550158586,0.7267794177920996,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.05,150.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,375000149886.9883,376127077512.8613,284.54300635253543,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.04761904761904765,0.8709211513334464,-0.15484574527148331,-0.8428316645342933,,,,,0.8451542547285167,0.1571683354657068,0.712531949282445,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,0.98,165.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,148955169044.06543,148955174869.99902,169.92036425051123,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.020408163265306076,0.992831367481997,-0.024267568725401145,-0.7922170786121185,,,,,0.9757324312745989,0.2077829213878815,0.7467844312090415,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.0,165.0,8000.0,1.0,True,True,True,True,-75.5921283924204,-3183.1688515097776,-0.017967470973745035,-0.756606476895629,-6026.451171875,False,0.6268461474885241,0.02180655982767169,False,1,79,581.3896484375,5645.37109375,18.30163168160577,300,True,False,success,soft_window,"{""soft_window"": 79}",2.104654818683916e-16,1.5054145521914852e-09,-0.03407417371093191,7.549516567451064e-15,,,0.6268461474885241,0.02180655982767169,0.9659258262890681,1.0000000000000075,1.0000000000000073,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.02,165.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,150000079138.60547,150774924506.69336,157.8707191308565,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.019607843137254777,0.9211536502151909,-0.04359091640216495,-0.8096963107886394,,,,,0.956409083597835,0.19030368921136065,0.7267794307959223,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.05,165.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,375000077587.208,375601949156.3242,152.95046609124174,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.04761904761904765,0.8706005369748342,-0.057352915661626036,-0.8227570780104625,,,,,0.942647084338374,0.17724292198953748,0.7125319615538074,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,0.98,170.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149262453807.42383,149262458023.18555,124.09640653574039,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.020408163265306496,0.9927022150611052,-0.005193942399973062,-0.7867428912650681,,,,,0.9948060576000269,0.21325710873493184,0.7467844361837457,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.0,170.0,8000.0,1.0,True,True,True,True,-69.01423483018289,-4727.470714164705,-0.01640397336941329,-1.1236711366960404,-2623.1083984375,False,0.9186216777498761,0.04348345057112868,False,1,42,1709.513671875,2275.509765625,11.434367729151932,266,True,False,success,soft_window,"{""soft_window"": 42}",2.104654818683916e-16,6.067846121554851e-10,-0.01519224698779198,7.327471962526033e-15,,,0.9186216777498761,0.04348345057112868,0.984807753012208,1.0000000000000073,1.0000000000000073,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.02,170.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,150000053096.0664,150536104992.708,111.37700734995084,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.01960784313725499,0.9210336064720429,-0.024895023050582443,-0.8050606944276244,,,,,0.9751049769494176,0.19493930557237563,0.7267794353881043,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.05,170.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,375000052055.19434,375413005576.19336,106.21192603449481,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.047619047619047436,0.8704869632104021,-0.038926041995105076,-0.8185805588806532,,,,,0.9610739580048949,0.18141944111934685,0.7125319658873277,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,0.98,175.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149577689612.25488,149577692213.9873,77.16213217288069,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.020408163265306287,0.9925704599681217,0.006308609146797872,-0.7827966042172912,,,,,1.0063086091467979,0.21720339578270875,0.746784441235641,False,0,0,0,0.0,0,,{}
